num,rate,name,price,diff,updown,buy_hoga,sell_hoga,volume,yes_volume
82.0,112.61,서원인텍,5380.0,10.0,-0.19%,5310.0,5360.0,22003.0,10349.0
83.0,111.02,아프리카TV,32100.0,2700.0,-7.76%,32250.0,32300.0,405267.0,192047.0
84.0,110.88,켐트로닉스,6100.0,260.0,-4.09%,6050.0,6070.0,124114.0,58855.0
85.0,110.43,육일씨엔에쓰,4680.0,120.0,-2.50%,4695.0,4700.0,29414.0,13978.0
86.0,109.33,토탈소프트,2970.0,40.0,-1.33%,2970.0,3000.0,53089.0,25361.0
87.0,107.95,부방,2550.0,100.0,-3.77%,2540.0,2545.0,210659.0,101303.0
88.0,107.6,우리산업홀딩스,4940.0,160.0,-3.14%,4940.0,4970.0,22010.0,10602.0
89.0,107.36,서플러스글로벌,3950.0,95.0,-2.35%,3935.0,3950.0,146020.0,70417.0
90.0,105.74,고려시멘트,3100.0,90.0,+2.99%,3090.0,3100.0,380559.0,184973.0
91.0,105.31,엔지스테크널러지,30350.0,350.0,+1.17%,30150.0,30450.0,23235.0,11317.0
92.0,105.0,에프에스티,5060.0,330.0,-6.12%,5070.0,5090.0,236863.0,115545.0
93.0,104.73,오공,3250.0,105.0,-3.13%,3240.0,3245.0,320545.0,156572.0
94.0,104.04,에스엔유,2905.0,80.0,-2.68%,2910.0,2920.0,57342.0,28104.0
95.0,103.89,피엠지파마,6010.0,430.0,-6.68%,6070.0,6090.0,63725.0,31255.0
96.0,103.22,한국정보인증,4520.0,180.0,-3.83%,4540.0,4545.0,85915.0,42276.0
97.0,103.18,무림SP,2890.0,80.0,-2.69%,2880.0,2890.0,35772.0,17606.0
98.0,102.13,바른전자,860.0,8.0,+0.94%,862.0,864.0,5259984.0,2602336.0
99.0,101.7,코이즈,2510.0,15.0,-0.59%,2490.0,2495.0,34262.0,16987.0
100.0,100.81,인크로스,20900.0,550.0,-2.56%,20700.0,20900.0,18794.0,9359.0
